id	source	owner	field	influence	lifetime	storage	bound	category	admission	failure	release	status	tests
component_def.body_tokens	crates/dustnet-core/src/parser/components.rs	ComponentDef	body_tokens	remote	operation	retained	MAX_EXPANDED_TOKENS with scanner-bounded nested token payloads	none	tokens and every nested name attribute and text owner are copied only through checked fallible sites	allocation rejection drops the partial definition and suppresses the parsed candidate	expansion completion or rejection	bounded	parser_allocation_rejection_discards_every_candidate_phase_and_retries
transient.component_expansion	crates/dustnet-core/src/parser/components.rs	expand_components	result	remote	operation	transient	MAX_EXPANDED_TOKENS plus bounded definitions maps slots substitutions and diagnostics	none	all collection map token string substitution and diagnostic construction is fallible before parser publication	allocator rejection returns a resource-exhausted marker and disposable partial result	Parser transfer or drop	bounded	parser_allocation_rejection_discards_every_candidate_phase_and_retries
transient.parser_result	crates/dustnet-core/src/parser/mod.rs	parse	result	remote	operation	transient	MAX_ELEMENTS MAX_DEPTH scanner payload limits and validation bounds	none	component expansion parser AST payload and diagnostic owners use checked fallible construction	any phase rejection marks resource_exhausted and suppresses Document publication	remote parsed-page transfer local consumer or drop	bounded	parser_allocation_rejection_discards_every_candidate_phase_and_retries
transient.parser_validation	crates/dustnet-core/src/parser/validate.rs	validate_triggers	result	remote	operation	transient	MAX_ELEMENTS and MAX_ON_BINDINGS borrowed indexes traversal state and diagnostics	none	borrowed panel animation element and binding indexes reserve fallibly without duplicating AST strings	allocation rejection marks the parse resource-exhausted and discards validation candidates	parse completion or rejection	bounded	parser_allocation_rejection_discards_every_candidate_phase_and_retries
client.governed_sessions	crates/dustnet-client/src/session_store.rs	GovernedSessionStore	inner	remote	process	retained	MAX_SESSION_CANDIDATE_BYTES staged owner and exact final retained capacity	Sessions	full candidate lease is admitted while the old exact retained lease remains live	budget or allocator rejection drops the candidate and preserves the exact active store	clear replacement or client drop	governed	governed_sessions_account_exact_retained_capacity_until_clear_and_drop,governed_sessions_candidate_rejection_preserves_the_exact_store
client.active_subscriptions	crates/dustnet-client/src/client.rs	AtpClient	active_subscriptions	remote	connection	retained	MAX_ACTIVE_SUBSCRIPTIONS fixed slots and MAX_CONTROL_MESSAGE_SIZE per wire body	RemoteCollections	fixed slot topology; conservative payload lease and fallible endpoint/region/body construction occur before send	rejection or send failure drops the candidate without installing local ownership	unsubscribe retirement or client drop	governed	subscription_admission_and_send_failure_preserve_exact_empty_state
client.pending_updates	crates/dustnet-client/src/client.rs	AtpClient	pending_updates	remote	page	retained	MAX_PENDING_UPDATES fixed slots and MAX_PENDING_UPDATE_BYTES	PendingUpdates	fixed ring topology plus exact update and fallibly cloned owner lease before allocation-free enqueue	count byte governor or owner-allocation rejection preserves the exact queue	ScopedUpdate scope retirement disconnect or client drop	governed	pending_update_queue_is_fixed_atomic_and_releases_exactly,pending_update_owner_allocation_rejection_is_atomic
viewer.history	crates/dustnet-client/src/viewer.rs	ViewerModel	history	remote	viewer	retained	MAX_HISTORY_ENTRIES and MAX_HISTORY_AML_BYTES	none	fixed inline ArrayVec topology; candidate owner and complete release/install effect capacity are prepared before renderer admission	full append evicts before allocation-free push and oversized single entries are rejected before admission	viewer drop	bounded	full_inline_history_evicts_before_push_and_orders_release_before_install
viewer.current_uri	crates/dustnet-client/src/viewer.rs	ViewerModel	current_uri	remote	viewer	retained	one production protocol-bounded URI	none	navigation reload form submission and cached activation prepare every duplicated URI fallibly and reserve effect capacity before reducer mutation	deterministic preparation rejection leaves generation requests and current model allocations exact	navigation replacement or viewer drop	bounded	navigation_preparation_rejection_preserves_exact_reducer_state
history_entry.scope	crates/dustnet-client/src/viewer.rs	HistoryEntry	scope	remote	viewer	retained	one page generation and canonical origin	none	normal commit moves a fallibly prepared owner and cached activation prepares replacement scopes before moving the exact old scope into rollback	preparation rejection precedes history mutation and failed activation restores the original allocation	entry eviction replacement or viewer drop	bounded	cached_preparation_pressure_protects_target_and_restores_previous_page
history_entry.uri	crates/dustnet-client/src/viewer.rs	HistoryEntry	uri	remote	viewer	retained	protocol URI limits	none	bounded URI is moved into fixed logical history without allocation after renderer admission	invalid or rejected navigation never commits the entry	entry eviction replacement or viewer drop	bounded	history_admission_is_an_exact_barrier_before_logical_commit
history_entry.retained_aml	crates/dustnet-client/src/viewer.rs	HistoryEntry	retained_aml	remote	viewer	retained	MAX_HISTORY_AML_BYTES logical length and exact retained String capacity	History	the original fetched String capacity is admitted by the renderer history transaction before allocation-free logical commit	admission rejection preserves the exact pending candidate and logical history	entry eviction replacement or viewer drop	governed	history_admission_rejection_retains_exact_candidate_until_install
pending_history_activation.previous_entry_scope	crates/dustnet-client/src/viewer.rs	PendingHistoryActivation	previous_entry_scope	remote	operation	retained	one cached-history rollback scope	none	activation preparation completes all new owners before mem::replace moves the exact prior history scope into rollback	preparation rejection leaves history untouched and failure restores the same allocation	activation failure success navigation replacement or viewer drop	bounded	cached_preparation_pressure_protects_target_and_restores_previous_page
pending_history_activation.previous_scope	crates/dustnet-client/src/viewer.rs	PendingHistoryActivation	previous_scope	remote	operation	retained	at most one prior page scope	none	activation preparation fallibly builds the separate retirement effect owner before Option::replace moves the exact model scope into rollback	preparation rejection leaves model state untouched and failure restores the same allocation	activation failure success navigation replacement or viewer drop	bounded	cached_preparation_pressure_protects_target_and_restores_previous_page
pending_history_activation.previous_uri	crates/dustnet-client/src/viewer.rs	PendingHistoryActivation	previous_uri	remote	operation	retained	at most one protocol-bounded URI	none	activation preparation fallibly builds the new current URI before Option::replace moves the exact prior URI into rollback	preparation rejection leaves model state untouched and failure restores the same allocation	activation failure success navigation replacement or viewer drop	bounded	cached_preparation_pressure_protects_target_and_restores_previous_page
pending_history_commit.owner	crates/dustnet-client/src/viewer.rs	PendingHistoryCommit	owner	remote	operation	retained	exactly one reducer-issued owner	none	fallible exact owner clone completes before renderer admission	owner allocation rejection retires the operation without publishing admission	commit failure navigation replacement or viewer drop	bounded	history_admission_is_an_exact_barrier_before_logical_commit
pending_history_commit.uri	crates/dustnet-client/src/viewer.rs	PendingHistoryCommit	uri	remote	operation	retained	one protocol-bounded URI	none	already-owned URI moves into the serialized pending slot and then fixed logical history	stale or failed operations cannot consume the pending URI	commit failure navigation replacement or viewer drop	bounded	history_admission_is_an_exact_barrier_before_logical_commit
pending_history_commit.retained_aml	crates/dustnet-client/src/viewer.rs	PendingHistoryCommit	retained_aml	remote	operation	retained	MAX_HISTORY_AML_BYTES logical length and exact retained String capacity	History	the single-owner String moves unchanged through renderer admission and logical commit	admission rejection preserves the exact String candidate for retry	commit failure navigation replacement or viewer drop	governed	history_admission_rejection_retains_exact_candidate_until_install
pending_history_commit.prepared_effects	crates/dustnet-client/src/viewer.rs	PendingHistoryCommit	prepared_effects	remote	operation	retained	MAX_HISTORY_ENTRIES release effects plus one install	none	fallible exact effect reserve completes before renderer admission	allocation rejection retires the operation before logical or renderer mutation	commit failure navigation replacement or viewer drop	bounded	full_inline_history_evicts_before_push_and_orders_release_before_install
page.budget_leases	crates/dustnet-client/src/compositor/terminal/runner.rs	LoadedPage	_budget_leases	remote	page	retained	fixed category lease set	mixed categories	all page candidates reserve before activation	candidate rejection preserves active page	page drop	governed	remote_parse_reserves_its_transient_bound_before_scanning,parser_allocation_rejection_discards_every_candidate_phase_and_retries
page.sticky_regions	crates/dustnet-client/src/compositor/terminal/runner.rs	LoadedPage	_sticky_regions	remote	page	retained	placed-element bound	RemoteCollections	reserve_projection_collections	candidate rollback before activation	page replacement or drop	governed	loaded_page_retains_and_releases_projection_collection_capacity,layout_allocation_rejection_refuses_the_page_at_every_site_and_recovers
page.buf	crates/dustnet-client/src/compositor/terminal/runner.rs	LoadedPage	buf	remote	page	retained	viewport and MAX_SCENE_CELLS	CompositorCells	CellBuffer governed constructor	candidate rollback or pressure retry	page replacement or drop	governed	governed_page_canvas_owns_exact_lease_until_drop,page_canvas_and_event_queue_rejection_refuse_the_page_and_recover
page.focusables	crates/dustnet-client/src/compositor/terminal/runner.rs	LoadedPage	focusables	remote	page	retained	element bound	RemoteCollections	reserve_projection_collections	candidate rollback before activation	page replacement or drop	governed	loaded_page_retains_and_releases_projection_collection_capacity,layout_allocation_rejection_refuses_the_page_at_every_site_and_recovers
page.placed	crates/dustnet-client/src/compositor/terminal/runner.rs	LoadedPage	placed	remote	page	retained	element bound	RemoteCollections	reserve_projection_collections	candidate rollback before activation	page replacement or drop	governed	loaded_page_retains_and_releases_projection_collection_capacity,layout_allocation_rejection_refuses_the_page_at_every_site_and_recovers
page.prepared_wasm	crates/dustnet-client/src/compositor/terminal/runner.rs	LoadedPage	prepared_wasm	remote	page	retained	MAX_WASM_INSTANCES paths and MAX_WASM_MODULE_SIZE per body	RemoteCollections and ResourceCache	fixed batch moves the exact pre-admitted path lease and ScopedResource body leases from runtime into the loaded page	candidate failure leaves the runtime batch intact and successful layout transfers without cloning	page replacement or drop	governed	layout_pressure_retains_exact_parsed_candidate_until_activation,wasm_batch_path_pressure_restores_exact_parse_candidate_for_retry
page.sticky_buf	crates/dustnet-client/src/compositor/terminal/runner.rs	LoadedPage	sticky_buf	remote	page	retained	viewport and content bounds	CompositorCells	governed sticky split	candidate rollback or pressure retry	page replacement or drop	governed	governed_sticky_split_rolls_back_without_orphan_leases,page_canvas_and_event_queue_rejection_refuse_the_page_and_recover
page.wasm_dir	crates/dustnet-client/src/compositor/terminal/runner.rs	LoadedPage	wasm_dir	local	page	retained	local fixture path only	none	local page construction	operation error	page replacement or drop	local	local_page_wasm_uses_explicit_directory
runtime.activated_navigation	crates/dustnet-client/src/compositor/terminal/runner.rs	TerminalRuntime	activated_navigation	remote	operation	retained	exactly one reducer completion	none	allocation-free single-owner slot keyed by generation and request after metadata construction	occupied or stale owners cannot overwrite or consume the current completion	exact dispatch consumption RetirePageWork or runtime drop	bounded	serialized_navigation_slot_rejects_stale_overwrite_and_retires_exact_scope
runtime.deferred_proposal	crates/dustnet-client/src/compositor/terminal/runner.rs	TerminalRuntime	deferred_proposal	remote	page	retained	exactly one proposal with AML-bounded strings	none	fallible FocusAction and href ownership precedes allocation-free Option installation keyed by generation	allocation rejection leaves no proposal and stale generations cannot consume a current proposal	defer consumption RetirePageWork or runtime drop	bounded	deferred_navigation_completion_requires_its_exact_page_owner
runtime.fetched_pages	crates/dustnet-client/src/compositor/terminal/runner.rs	TerminalRuntime	fetched_pages	remote	operation	retained	exactly one reducer-issued fetch completion	none	allocation-free single-owner slot moves the protocol-created URI and AML String without conversion or owner cloning	occupied or stale owners cannot overwrite or consume the current completion	parse RetirePageWork or runtime drop	bounded	parse_pressure_retains_exact_payload_and_active_page_for_retry
runtime.history	crates/dustnet-client/src/compositor/terminal/runner.rs	TerminalRuntime	history	remote	viewer	retained	MAX_HISTORY_ENTRIES and bytes	History	artifact admitted before logical commit	pressure retry or independent error	artifact release or runtime drop	governed	history_admission_rejection_retains_exact_candidate_until_install
runtime.parsed_pages	crates/dustnet-client/src/compositor/terminal/runner.rs	TerminalRuntime	parsed_pages	remote	operation	retained	exactly one reducer-issued parsed page	AstStrings	allocation-free single-owner slot moves the governed parse candidate and fallibly owned URI metadata	pressure restores the exact taken candidate and stale owners cannot consume it	layout RetirePageWork or runtime drop	bounded	layout_pressure_retains_exact_parsed_candidate_until_activation
runtime.pending_history_artifact	crates/dustnet-client/src/compositor/terminal/runner.rs	TerminalRuntime	pending_history_artifact	remote	operation	retained	exactly one serialized pending navigation	History	fixed Option slot keyed by allocation-free generation/request pair; title shares the scene Arc and history admission includes its exact bytes	stale owner is ignored and replacement drops the prior exact candidate	install retirement or runtime drop	governed	history_admission_rejection_retains_exact_candidate_until_install
runtime.pending_updates	crates/dustnet-client/src/compositor/terminal/runner.rs	TerminalRuntime	pending_updates	remote	operation	retained	exactly one synchronously dispatched update	PendingUpdates	allocation-free exact-owner slot retains the already-leased ScopedUpdate while the reducer drains its retry sequence	collision and stale owners cannot replace or consume the current update	completion RetirePageWork or runtime drop	governed	runtime_pending_update_slot_preserves_exact_owner_and_releases_lease,pending_update_owner_allocation_rejection_is_atomic
runtime.prepared_layout	crates/dustnet-client/src/compositor/terminal/runner.rs	TerminalRuntime	prepared_layout	remote	operation	retained	exactly one serialized page or resize preparation	none	fixed Option slot keyed by allocation-free generation/request pair after the candidate is fully admitted	stale owner is ignored without changing the active page	activation retirement or runtime drop	bounded	stale_prepared_page_is_never_installed_by_runtime
runtime.prepared_navigation	crates/dustnet-client/src/compositor/terminal/runner.rs	TerminalRuntime	prepared_navigation	remote	operation	retained	exactly one reducer-issued prepared navigation	none	allocation-free single-owner slot receives fallibly cloned bounded URI metadata or a moved cached entry; network AML moves directly to history	metadata allocation failure restores the parsed candidate and stale owners cannot consume it	activation RetirePageWork or runtime drop	bounded	serialized_navigation_slot_rejects_stale_overwrite_and_retires_exact_scope
runtime.prepared_wasm	crates/dustnet-client/src/compositor/terminal/runner.rs	TerminalRuntime	prepared_wasm	remote	operation	retained	exactly one FIFO completion marker	none	allocation-free single-owner PreparedSlot keyed by generation and request	occupied or stale owners cannot overwrite or consume the current marker	activation RetirePageWork or runtime drop	bounded	stale_same_scope_wasm_work_cannot_mutate_runtime_artifacts
runtime.region_buffers	crates/dustnet-client/src/compositor/terminal/runner.rs	TerminalRuntime	region_buffers	remote	page	retained	MAX_ACTIVE_SUBSCRIPTIONS fixed projection slots and SceneCells row capacity	SceneCells	allocation-free numeric-key table retains only transactionally built flat governed buffers	full-table governor or allocator rejection leaves every exact slot unchanged	successful page replacement subscription retirement transport loss or runtime drop	governed	fixed_region_table_rejects_capacity_and_failed_first_update_atomically,region_row_rejection_keeps_the_previous_generation_and_recovers
runtime.wasm_resources	crates/dustnet-client/src/compositor/terminal/runner.rs	TerminalRuntime	wasm_resources	remote	operation	retained	one MAX_WASM_INSTANCES batch for the serialized page pipeline	RemoteCollections and ResourceCache	atomic aggregate path admission plus fixed inline artifact slots retaining exact ScopedResource leases	pressure restores the fetched parse candidate duplicate or stale owners cannot install and layout failure retains the batch	allocation-free transfer to LoadedPage RetirePageWork or runtime drop	governed	wasm_batch_path_pressure_restores_exact_parse_candidate_for_retry
scene.event_bindings	crates/dustnet-client/src/compositor/scene/tree.rs	Scene	event_bindings	remote	page	retained	MAX_EVENT_BINDINGS inline entries plus parser-bounded strings	AstStrings	fixed ArrayVec topology and fallible string copies complete before scene string admission	binding overflow or string allocation failure marks the disposable candidate invalid without retaining a partial table	page drop	bounded	event_binding_topology_is_fixed_and_overflow_fails_closed
event_binding.source	crates/dustnet-client/src/compositor/scene/events.rs	EventBinding	source	remote	page	retained	one optional parser-bounded source id	AstStrings	fallible exact String copy completes before candidate publication and its capacity is included in scene string admission	allocation or aggregate-budget rejection drops the disposable candidate before activation	page drop	bounded	event_binding_topology_is_fixed_and_overflow_fails_closed
event_binding.target	crates/dustnet-client/src/compositor/scene/events.rs	EventBinding	target	remote	page	retained	one parser-bounded target id	AstStrings	fallible exact String copy completes before candidate publication and its capacity is included in scene string admission	allocation or aggregate-budget rejection drops the disposable candidate before activation	page drop	bounded	event_binding_topology_is_fixed_and_overflow_fails_closed
event_binding.to	crates/dustnet-client/src/compositor/scene/events.rs	EventBinding	to	remote	page	retained	one optional parser-bounded state id	AstStrings	fallible exact String copy completes before candidate publication and its capacity is included in scene string admission	allocation or aggregate-budget rejection drops the disposable candidate before activation	page drop	bounded	event_binding_topology_is_fixed_and_overflow_fails_closed
scene.nodes	crates/dustnet-client/src/compositor/scene/tree.rs	Scene	nodes	remote	page	retained	parser element bound plus root and one dormant overlay	RemoteCollections	one disposable generational arena fallibly reserves its complete slot and free-index backing before construction and reconciles one exact page lease	governor or allocator rejection leaves an invalid unpublished candidate with no retained arena backing	page replacement or drop	governed	scene_node_topology_governor_and_allocator_rejection_discard_candidates
scene_nodes.slots	crates/dustnet-client/src/compositor/scene/tree.rs	SceneNodes	slots	remote	page	retained	parser element bound plus root and one dormant overlay	RemoteCollections	fallible exact reserve completes before node insertion and actual Vec capacity is included in the aggregate node-topology lease	rejection publishes no node and slot reuse never grows governed backing	page replacement or drop	governed	node_arena_reuses_slots_without_growth_and_rejects_stale_keys,scene_node_topology_governor_and_allocator_rejection_discard_candidates
scene_nodes.free	crates/dustnet-client/src/compositor/scene/tree.rs	SceneNodes	free	remote	page	retained	one reusable index per admitted arena slot	RemoteCollections	fallible exact reserve completes alongside slot admission and covers allocation-free removal and reuse	rejection publishes no arena and stale generations cannot consume reused slots	page replacement or drop	governed	node_arena_reuses_slots_without_growth_and_rejects_stale_keys,scene_node_topology_governor_and_allocator_rejection_discard_candidates
scene.node_relation_topology_lease	crates/dustnet-client/src/compositor/scene/tree.rs	Scene	_node_relation_topology_lease	remote	page	retained	checked document-wide upper bound then exact AmlIdIndex and all Node.children Vec capacities	RemoteCollections	one aggregate candidate lease precedes fallible index and child-list reserves and reconciles to allocator-selected capacities	admission or allocation rejection marks only the disposable candidate invalid	page replacement or drop	governed	scene_node_relations_account_actual_capacities_and_release,every_scene_allocation_site_refuses_without_a_partial_scene
node.children	crates/dustnet-client/src/compositor/scene/node.rs	Node	children	remote	page	retained	one parent edge per authored node plus one dormant transition root edge	RemoteCollections	candidate admission covers every fallible child-list reserve; governed structural replacement reuses existing backing and overflow fails closed	allocation rejection precedes parent linkage and governed structural overflow leaves topology unchanged	subtree removal reconciles released backing; page replacement or drop releases the remainder	governed	scene_node_relations_account_actual_capacities_and_release,scene_node_topology_governor_and_allocator_rejection_discard_candidates
node.buffer	crates/dustnet-client/src/compositor/scene/node.rs	Node	buffer	remote	page	retained	MAX_SCENE_CELLS across the page	SceneCells	each remotely influenced CellBuffer has exact fallible admission and retained lease	candidate or replacement failure preserves the prior buffer	buffer replacement node removal or page drop	governed	governed_scene_buffers_retain_exact_individual_leases,refused_node_buffer_marks_the_scene_and_retains_no_cells
node.aml_id	crates/dustnet-client/src/compositor/scene/node.rs	Node	aml_id	remote	page	retained	parser-bounded AML identifier	AstStrings	fallible exact copy completes in the disposable builder before scene string admission; compatibility patches move an already-owned identifier after relation-capacity checks	allocation rejection marks only the candidate invalid before activation and retry reconstructs the exact identifier	node removal or page drop	bounded	scene_aml_id_copy_rejection_discards_the_candidate_and_retries
scene.title	crates/dustnet-client/src/compositor/scene/tree.rs	Scene	title	remote	page	retained	page message bound	AstStrings	parser lease reconciled to retained capacity	candidate rejection before activation	page drop	governed	remote_parse_reserves_its_transient_bound_before_scanning,parser_allocation_rejection_discards_every_candidate_phase_and_retries
compositor.last_output	crates/dustnet-client/src/compositor/composite.rs	Compositor	last_output	remote	frame	retained	MAX_SCENE_CELLS	CompositorCells	governed frame cells move into a fallibly allocated shared owner before cache replacement	cell or shared-owner rejection preserves the exact prior frame	last shared owner drop	governed	shared_frame_owner_rejection_preserves_the_exact_cached_frame
compositor.last_presented	crates/dustnet-client/src/compositor/composite.rs	Compositor	last_presented	remote	frame	retained	MAX_SCENE_CELLS	CompositorCells	allocation-free clone of the already fallibly constructed governed frame owner	presentation failure preserves the prior shared frame	last shared owner drop	governed	governed_cache_tracks_unique_retained_frames_exactly,shared_frame_owner_rejection_preserves_the_exact_cached_frame
compositor.pending_present_dirty	crates/dustnet-client/src/compositor/composite.rs	Compositor	pending_present_dirty	remote	frame	transient	one inline bounding rectangle	none	allocation-free Option union retains no heap topology	disjoint dirty rectangles conservatively coalesce without allocation	presentation or compositor drop	bounded	pending_present_dirty_union_is_allocation_free_and_reusable
animation.animations	crates/dustnet-client/src/compositor/animate/runtime.rs	AnimationRuntime	animations	remote	page	retained	MAX_ANIMATION_REGIONS plus one system transition	RemoteCollections	construction pre-reserves and reconciles capacity	candidate rejection preserves active page	page drop	governed	from_scene_retains_exact_animation_frame_and_payload_leases,frame_collection_rejection_refuses_the_runtime_and_recovers
animation.transition_animations	crates/dustnet-client/src/compositor/animate/runtime.rs	AnimationRuntime	transition_animations	remote	page	retained	MAX_ANIMATION_REGIONS	RemoteCollections	transition capacity pre-admitted before patch commit	presentation failure rolls back transition candidate	page drop	governed	panel_transition_collection_is_preadmitted_and_released,frame_collection_rejection_refuses_the_runtime_and_recovers
events.pending	crates/dustnet-client/src/compositor/terminal/events.rs	EventDispatcher	pending	remote	page	retained	MAX_PENDING_EVENT_ACTIONS binding-index entries	RemoteCollections	EventDispatcher::try_governed admits fixed queue topology with the page	candidate rejection is atomic and a ready item remains exact until its mutation commits	page replacement or runtime drop	governed	queue_capacity_is_governed_for_the_page_lifetime,page_canvas_and_event_queue_rejection_refuse_the_page_and_recover
command.buffer	crates/dustnet-client/src/compositor/terminal/presentation.rs	CommandLine	buffer	local	process	retained	MAX_COMMAND_BYTES local input	none	prefill and character growth check the byte bound and reserve fallibly before mutation	allocation rejection preserves the prior buffer and oversized prefill is truncated at a UTF-8 boundary	clear or runtime drop	local	command_line_input_enforces_its_utf8_byte_bound
command.history	crates/dustnet-client/src/compositor/terminal/presentation.rs	CommandLine	history	local	process	retained	MAX_COMMAND_HISTORY inline entries each bounded by MAX_COMMAND_BYTES	none	fallibly constructed bounded command Strings move into a fixed ArrayVec after oldest-entry eviction	allocation rejection leaves prior history exact and excess commands evict one oldest entry	runtime drop	bounded	command_line_history_is_fixed_and_evicts_the_oldest_entry
command.message	crates/dustnet-client/src/compositor/terminal/presentation.rs	CommandLine	message	mixed	process	retained	MAX_COMMAND_MESSAGE_BYTES sanitized UTF-8	none	static and formatted sources write through bounded fallible buffers before one-pass sanitization and atomic replacement	allocation rejection preserves the prior message and oversized sources truncate at a character boundary	next message or runtime drop	bounded	command_line_formatted_message_is_fallible_and_bounded
command.saved_buffer	crates/dustnet-client/src/compositor/terminal/presentation.rs	CommandLine	saved_buffer	local	process	retained	MAX_COMMAND_BYTES local input	none	fallible bounded copy completes with the recalled history entry before navigation state changes	allocation rejection preserves the exact buffer cursor saved buffer and history index	clear or runtime drop	local	command_line_history_copy_rejection_preserves_exact_navigation_state
server.subscription_metadata_lease	crates/dustnet-server/src/lib.rs	StaticSubscription	_metadata_lease	remote	connection	retained	exact retained region capacity	ServerSubscriptions	reserved before the region is retained and resized to its exact capacity	governor or owner-keyed allocator rejection drops the complete candidate	unsubscribe disconnect or server drop	governed	subscription_owner_keyed_allocation_rejection_rolls_back_every_candidate
server.subscription_region	crates/dustnet-server/src/lib.rs	StaticSubscription	region	remote	connection	retained	protocol region length 16 subscriptions and 128 MiB server-wide subscription budget	ServerSubscriptions	metadata lease precedes owner-keyed fallible retained String construction	governor allocator or protocol rejection drops the complete candidate	unsubscribe disconnect or server drop	governed	subscription_owner_keyed_allocation_rejection_rolls_back_every_candidate
protocol.raw_frame_body	crates/dustnet-core/src/protocol/frame.rs	RawFrame	body	remote	operation	transient	MAX_FRAME_SIZE and per-message body limits	none	static files and inbound frames use fallible bounded body allocation; serializers and frame assembly are fallible	allocation rejection returns ProtocolError before body publication	frame consumption or drop	bounded	static_resource_read_is_fallible_and_returns_only_filled_bytes
client.resource_cache_wrapper	crates/dustnet-client/src/client.rs	AtpClient	resource_cache	remote	process	retained	MAX_RESOURCE_CACHE entries and bytes	mixed categories	fixed inline cache topology delegates exact key and body ownership to ResourceCacheEntry	full insertion evicts an exact LRU entry without topology growth	client drop	bounded	resource_cache_promotes_hits_before_eviction
cache.entries	crates/dustnet-client/src/client.rs	ResourceCache	entries	remote	process	retained	MAX_RESOURCE_CACHE fixed inline slots	RemoteCollections	ArrayVec topology is allocation-free and LRU remove/push cannot grow	count and byte bounds evict before the checked push	eviction clear or cache drop	bounded	resource_cache_promotes_hits_before_eviction
cache_entry.origin	crates/dustnet-client/src/client.rs	ResourceCacheEntry	origin	remote	process	retained	one protocol-bounded canonical origin	RemoteCollections	already-owned origin and its exact host-capacity lease move into the fixed entry	key budget rejection preserves existing entries	eviction replacement or cache drop	governed	resource_cache_keys_hold_exact_remote_collection_leases,resource_cache_key_budget_rejection_preserves_existing_entry
cache_entry.path	crates/dustnet-client/src/client.rs	ResourceCacheEntry	path	remote	process	retained	MAX_CONTROL_MESSAGE_SIZE	RemoteCollections	already-owned path and its exact capacity lease move into the fixed entry	key budget rejection preserves existing entries	eviction replacement or cache drop	governed	resource_cache_keys_hold_exact_remote_collection_leases,resource_cache_key_budget_rejection_preserves_existing_entry
